#taxa	84B.R1.48H	84B.R2.48H	73B.R1.48H	73B.R2.48H	66A.R1.48H	66A.R2.48H	67A.R2.48H	92A.R1.48H	92A.R2.48H	92B.R1.48H	92B.R2.48H	66B.R1.48H	66B.R2.48H	276B.R1.48H	276B.R2.48H	116A.R1.48H	116A.R2.48H	176A.R1.48H	176A.R2.48H	276A.R1.48H	276A.R2.48H	84A.R1.48H	84A.R2.48H	73A.R1.48H	73A.R2.48H	67B.R1.48H	67B.R2.48H	176B.R1.48H	176B.R2.48H	84B.S1.48H	84B.S2.48H	73B.S1.48H	73B.S2.48H	66A.S1.48H	66A.S2.48H	67A.S1.48H	67A.S2.48H	92A.S1.48H	92A.S2.48H	92B.S1.48H	92B.S2.48H	66B.S1.48H	66B.S2.48H	276B.S1.48H	276B.S2.48H	116A.S1.48H	116A.S2.48H	176A.S1.48H	176A.S2.48H	276A.S1.48H	276A.S2.48H	84A.S1.48H	84A.S2.48H	73A.S1.48H	73A.S2.48H	67B.S1.48H	67B.S2.48H	176B.S1.48H	176B.S2.48H
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family XIII	12	167	0	0	26	0	48	82	11	0	13	0	0	696	0	38	39	92	0	109	0	249	16	0	0	412	0	407	0	332	11	0	0	0	0	83	242	12	0	11	14	32	0	179	16	0	14	30	0	97	12	58	0	0	0	75	195	260	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	7668	15644	14221	1550	11949	749	7926	8768	3913	8046	3262	2385	517	17989	781	8347	4966	9675	3303	6645	549	9877	11931	7658	11106	11803	3343	15671	233	8624	8120	14299	8022	13935	7757	6557	3194	7979	3803	2626	9809	6345	330	15064	2586	5132	2353	14403	7526	7533	652	8883	13847	15241	13349	6401	6175	26099	6376
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__NA	0	811	0	19	27	14	384	0	0	0	0	25	30	21	0	69	83	0	0	11	18	825	11	0	0	13	14	13	0	809	0	0	0	13	0	602	659	0	0	0	0	19	23	0	12	46	46	0	0	0	0	603	0	0	0	27	29	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	41	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	722	7709	1032	685	26435	14396	2292	6824	2790	5249	2056	2753	1115	5670	476	1209	1331	238	75	605	849	16448	8798	25164	22525	542	0	3702	74	6357	360	1247	511	14929	17728	4075	5418	3257	1177	2012	4888	3903	1691	1380	675	690	737	129	73	747	554	12229	5298	22994	9750	11	186	1499	74
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	939	5256	4958	780	5295	370	1480	8902	3885	5886	1753	1953	587	8002	66	10412	4722	2003	328	982	67	1869	1604	2051	2830	5800	4685	8901	116	3171	171	6431	2660	3538	4938	1411	2028	8947	3016	1786	6110	5997	766	5970	335	7992	8410	2254	1458	858	56	1247	539	3861	2336	4159	4016	5670	801
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae	775	3000	459	252	4670	2473	2936	587	278	538	401	12115	9431	1052	67	370	85	4278	196	275	151	1162	641	223	542	195	0	3293	94	2413	326	407	936	8300	4289	1355	1051	235	106	313	571	14311	12494	668	162	186	84	2892	1705	297	975	791	497	363	99	31	69	1608	195
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae	233	265	0	0	347	0	399	0	0	0	0	0	0	0	0	0	0	97	0	0	0	188	294	73	189	493	46	0	0	240	118	0	0	190	175	173	151	0	0	0	0	19	0	0	0	0	0	0	0	0	0	206	116	196	175	175	317	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae	3253	798	0	0	37	0	0	808	0	0	0	0	0	528	0	0	119	0	0	519	0	834	5120	0	113	31	16374	0	0	624	1576	0	0	2131	231	53	20	32	0	0	0	0	0	2139	0	0	0	13	0	842	0	688	2299	17	27	559	136	0	0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	0	15	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae	108	195	0	0	472	0	506	48	0	203	0	159	0	406	0	84	94	523	0	39	0	282	216	87	265	0	0	1059	11	160	25	0	0	0	226	216	225	78	0	0	157	566	0	246	0	75	0	402	0	46	0	104	70	225	182	171	23	711	64
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae	0	13	0	0	287	0	0	0	0	0	0	0	0	92	0	0	13	0	0	0	0	116	13	231	0	71	0	127	0	0	0	0	0	0	509	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	37	0	19	0	12	23	70	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	15831	16409	3464	143	52	0	11068	12074	1875	7843	1044	2153	0	187	39047	20984	11369	17983	17191	29389	40944	3278	737	179	64	7456	210	1327	24430	4277	10457	3092	250	36	63	16003	9544	7544	3219	1350	10301	286	0	13724	53410	23201	20888	14569	14003	27969	34223	2348	1372	163	18	3986	6842	1576	36037
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	289	970	4057	0	22	0	2413	323	101	1645	184	63	0	628	84	874	57	0	0	824	53	608	21	558	119	0	0	460	0	986	0	4357	0	0	53	3581	3106	1118	47	173	2685	24	0	389	170	246	28	0	0	1047	79	546	156	924	36	0	0	121	0
