#taxa	84B.R1.48H	84B.R2.48H	73B.R1.48H	73B.R2.48H	66A.R1.48H	66A.R2.48H	67A.R2.48H	92A.R1.48H	92A.R2.48H	92B.R1.48H	92B.R2.48H	66B.R1.48H	66B.R2.48H	276B.R1.48H	276B.R2.48H	116A.R1.48H	116A.R2.48H	176A.R1.48H	176A.R2.48H	276A.R1.48H	276A.R2.48H	84A.R1.48H	84A.R2.48H	73A.R1.48H	73A.R2.48H	67B.R1.48H	67B.R2.48H	176B.R1.48H	176B.R2.48H	84B.S1.48H	84B.S2.48H	73B.S1.48H	73B.S2.48H	66A.S1.48H	66A.S2.48H	67A.S1.48H	67A.S2.48H	92A.S1.48H	92A.S2.48H	92B.S1.48H	92B.S2.48H	66B.S1.48H	66B.S2.48H	276B.S1.48H	276B.S2.48H	116A.S1.48H	116A.S2.48H	176A.S1.48H	176A.S2.48H	276A.S1.48H	276A.S2.48H	84A.S1.48H	84A.S2.48H	73A.S1.48H	73A.S2.48H	67B.S1.48H	67B.S2.48H	176B.S1.48H	176B.S2.48H
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__cellulosilyticus	27	45	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	13	18	18	0	0	0	0	27	54	0	0	0	0	25	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	143	48	22	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__cellulosilyticus-intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__dorei	0	0	0	0	0	0	0	197	0	296	0	0	0	0	0	0	0	23	17	0	0	0	0	14	23	0	0	32	50	0	0	0	0	0	0	0	0	45	0	0	179	0	0	0	0	0	0	40	37	0	0	0	0	13	22	0	0	32	117
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__eggerthii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__faecichinchillae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__faecis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1123	0	0	0	66	158	395	0	0	0	0	0	246	0	0	0	0	13	0	0	0	0	0	0	55	14	0	0	0	0	965	0	0	0	553	108	320	363	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__finegoldii	0	0	0	0	50	0	0	59	0	51	0	0	0	42	0	0	0	0	0	22	0	189	36	235	140	0	0	0	0	0	0	0	0	0	11	0	0	34	0	0	88	0	0	0	0	0	0	0	0	23	0	118	19	530	49	75	17	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis	1497	3090	4434	0	94	0	2384	0	0	0	0	59	0	159	0	1481	1205	8845	5184	227	24	2065	2441	208	104	0	0	2178	2019	1577	399	0	0	0	42	2914	3129	0	0	0	0	149	0	160	59	1028	864	5437	5715	225	0	1841	956	185	0	0	0	751	2767
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis-ovatus	0	0	0	0	207	0	0	30	0	19	0	0	0	19	0	106	24	31	0	12	21	48	35	88	92	112	12	31	14	0	0	0	0	24	80	0	0	21	0	0	38	36	0	20	0	66	69	21	0	0	0	22	0	84	65	104	98	49	21
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__intestinalis	0	0	0	0	251	0	0	0	0	0	0	18	0	54	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	17	110	0	0	0	0	0	0	84	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
