sample_key,customer_label,donor_id,aliquot_id,carbohydrate,timepoint,group,gene_copies_per_ul,asv_read_depth
176__176B__RDC__2.0__0H,176B.R2.0H,176,176B,RDC,0H,control,1515146338.0,66576.0
176__176B__RDC__2.0__48H,176B.R2.48H,176,176B,RDC,48H,control,7411421124.0,49681.0
176__176B__SDC__1.0__0H,176B.S1.0H,176,176B,SDC,0H,control,1679794997.0,51797.0
176__176B__SDC__1.0__48H,176B.S1.48H,176,176B,SDC,48H,control,378748439.0,55831.0
176__176B__SDC__2.0__48H,176B.S2.48H,176,176B,SDC,48H,control,9337738001.0,63332.0
21__21A__No Added Carb__1.0__0H,21A.NC.0H,21,21A,No Added Carb,0H,case,445930959.0,52458.0
21__21A__RDC__1.0__0H,21A.R1.0H,21,21A,RDC,0H,case,465532838.0,46601.0
21__21A__RDC__1.0__48H,21A.R1.48H,21,21A,RDC,48H,case,794085812.0,50100.0
21__21A__RDC__2.0__0H,21A.R2.0H,21,21A,RDC,0H,case,805489017.0,34775.0
21__21A__RDC__2.0__48H,21A.R2.48H,21,21A,RDC,48H,case,1242364024.0,55118.0
21__21A__SDC__1.0__0H,21A.S1.0H,21,21A,SDC,0H,case,447110867.0,47652.0
21__21A__SDC__1.0__48H,21A.S1.48H,21,21A,SDC,48H,case,2005239831.0,44687.0
21__21A__SDC__2.0__0H,21A.S2.0H,21,21A,SDC,0H,case,5373.0,71710.0
21__21A__SDC__2.0__48H,21A.S2.48H,21,21A,SDC,48H,case,288770599.0,52058.0
21__21B__No Added Carb__1.0__0H,21B.NC.0H,21,21B,No Added Carb,0H,case,442798674.0,69856.0
21__21B__No Added Carb__1.0__48H,21B.NC.48H,21,21B,No Added Carb,48H,case,7374639108.0,59970.0
21__21B__RDC__1.0__0H,21B.R1.0H,21,21B,RDC,0H,case,57.0,1499.0
21__21B__RDC__1.0__48H,21B.R1.48H,21,21B,RDC,48H,case,1134432959.0,65388.0
21__21B__RDC__2.0__0H,21B.R2.0H,21,21B,RDC,0H,case,458890507.0,58492.0
21__21B__RDC__2.0__48H,21B.R2.48H,21,21B,RDC,48H,case,2086063197.0,62180.0
21__21B__SDC__1.0__0H,21B.S1.0H,21,21B,SDC,0H,case,3233524599.0,53218.0
21__21B__SDC__1.0__48H,21B.S1.48H,21,21B,SDC,48H,case,1570538539.0,51763.0
21__21B__SDC__2.0__0H,21B.S2.0H,21,21B,SDC,0H,case,1218255525.0,57229.0
21__21B__SDC__2.0__48H,21B.S2.48H,21,21B,SDC,48H,case,1276096250.0,54543.0
239__239A__No Added Carb__1.0__0H,239A.NC.0H,239,239A,No Added Carb,0H,case,370738212.0,56324.0
239__239A__No Added Carb__1.0__48H,239A.NC.48H,239,239A,No Added Carb,48H,case,2833877723.0,55072.0
239__239A__RDC__1.0__0H,239A.R1.0H,239,239A,RDC,0H,case,1126747363.0,50530.0
239__239A__RDC__1.0__48H,239A.R1.48H,239,239A,RDC,48H,case,2997483963.0,47452.0
239__239A__RDC__2.0__0H,239A.R2.0H,239,239A,RDC,0H,case,126157054.0,53344.0
239__239A__RDC__2.0__48H,239A.R2.48H,239,239A,RDC,48H,case,1090917661.0,51414.0
239__239A__SDC__1.0__0H,239A.S1.0H,239,239A,SDC,0H,case,277962228.0,53481.0
239__239A__SDC__1.0__48H,239A.S1.48H,239,239A,SDC,48H,case,777955854.0,59467.0
239__239A__SDC__2.0__0H,239A.S2.0H,239,239A,SDC,0H,case,336618231.0,47733.0
239__239A__SDC__2.0__48H,239A.S2.48H,239,239A,SDC,48H,case,1069195436.0,50235.0
239__239B__No Added Carb__1.0__0H,239B.NC.0H,239,239B,No Added Carb,0H,case,83954537.0,62517.0
239__239B__No Added Carb__1.0__48H,239B.NC.48H,239,239B,No Added Carb,48H,case,6729563593.0,59035.0
239__239B__RDC__1.0__0H,239B.R1.0H,239,239B,RDC,0H,case,8.0,10774.0
239__239B__RDC__1.0__48H,239B.R1.48H,239,239B,RDC,48H,case,11046759049.0,44101.0
239__239B__RDC__2.0__0H,239B.R2.0H,239,239B,RDC,0H,case,203327129.0,57811.0
239__239B__RDC__2.0__48H,239B.R2.48H,239,239B,RDC,48H,case,11341006077.0,59774.0
239__239B__SDC__1.0__0H,239B.S1.0H,239,239B,SDC,0H,case,187518385.0,44876.0
239__239B__SDC__1.0__48H,239B.S1.48H,239,239B,SDC,48H,case,332924179.0,60642.0
239__239B__SDC__2.0__0H,239B.S2.0H,239,239B,SDC,0H,case,199268563.0,46844.0
239__239B__SDC__2.0__48H,239B.S2.48H,239,239B,SDC,48H,case,3870121413.0,47997.0
276__276A__No Added Carb__1.0__48H,276A.NC.48H,276,276A,No Added Carb,48H,control,3373927663.0,53351.0
276__276A__RDC__1.0__48H,276A.R1.48H,276,276A,RDC,48H,control,4545411285.0,55941.0
276__276A__RDC__2.0__48H,276A.R2.48H,276,276A,RDC,48H,control,3237834683.0,58093.0
276__276A__SDC__1.0__48H,276A.S1.48H,276,276A,SDC,48H,control,7223877512.0,59715.0
276__276A__SDC__2.0__48H,276A.S2.48H,276,276A,SDC,48H,control,6826267798.0,49851.0
276__276B__No Added Carb__1.0__48H,276B.NC.48H,276,276B,No Added Carb,48H,control,420397102.0,42288.0
276__276B__RDC__1.0__48H,276B.R1.48H,276,276B,RDC,48H,control,723771862.0,49964.0
276__276B__RDC__2.0__48H,276B.R2.48H,276,276B,RDC,48H,control,3246961238.0,55906.0
276__276B__SDC__1.0__48H,276B.S1.48H,276,276B,SDC,48H,control,749045833.0,49409.0
276__276B__SDC__2.0__48H,276B.S2.48H,276,276B,SDC,48H,control,1422775881.0,69874.0
41__41A__No Added Carb__1.0__48H,41A.NC.48H,41,41A,No Added Carb,48H,case,395000939.0,61902.0
