sample_id	customer_label	raw_seq_files	Subgroup1
zr24558_84V3V4	123B.S2.48H	zr24558_84V3V4_R1.fastq.gz;zr24558_84V3V4_R2.fastq.gz	
zr24558_85V3V4	123B.NC.48H	zr24558_85V3V4_R1.fastq.gz;zr24558_85V3V4_R2.fastq.gz	
zr24558_86V3V4	116A.R1.48H	zr24558_86V3V4_R1.fastq.gz;zr24558_86V3V4_R2.fastq.gz	
zr24558_87V3V4	116A.R2.48H	zr24558_87V3V4_R1.fastq.gz;zr24558_87V3V4_R2.fastq.gz	
zr24558_88V3V4	116A.S1.48H	zr24558_88V3V4_R1.fastq.gz;zr24558_88V3V4_R2.fastq.gz	
zr24558_89V3V4	116A.S2.48H	zr24558_89V3V4_R1.fastq.gz;zr24558_89V3V4_R2.fastq.gz	
zr24558_90V3V4	116A.NC.48H	zr24558_90V3V4_R1.fastq.gz;zr24558_90V3V4_R2.fastq.gz	
zr24558_91V3V4	239B.R1.48H	zr24558_91V3V4_R1.fastq.gz;zr24558_91V3V4_R2.fastq.gz	
zr24558_92V3V4	239B.R2.48H	zr24558_92V3V4_R1.fastq.gz;zr24558_92V3V4_R2.fastq.gz	
zr24558_93V3V4	239B.S1.48H	zr24558_93V3V4_R1.fastq.gz;zr24558_93V3V4_R2.fastq.gz	
zr24558_94V3V4	239B.S2.48H	zr24558_94V3V4_R1.fastq.gz;zr24558_94V3V4_R2.fastq.gz	
zr24558_95V3V4	239B.NC.48H	zr24558_95V3V4_R1.fastq.gz;zr24558_95V3V4_R2.fastq.gz	
zr24558_96V3V4	MediaControl.MediaControl.0H	zr24558_96V3V4_R1.fastq.gz;zr24558_96V3V4_R2.fastq.gz	
zr24558_97V3V4	176A.R1.48H	zr24558_97V3V4_R1.fastq.gz;zr24558_97V3V4_R2.fastq.gz	
zr24558_98V3V4	176A.R2.48H	zr24558_98V3V4_R1.fastq.gz;zr24558_98V3V4_R2.fastq.gz	
zr24558_99V3V4	176A.S1.48H	zr24558_99V3V4_R1.fastq.gz;zr24558_99V3V4_R2.fastq.gz	
zr24558_100V3V4	176A.S2.48H	zr24558_100V3V4_R1.fastq.gz;zr24558_100V3V4_R2.fastq.gz	
zr24558_101V3V4	176A.NC.48H	zr24558_101V3V4_R1.fastq.gz;zr24558_101V3V4_R2.fastq.gz	
zr24558_102V3V4	276A.R1.48H	zr24558_102V3V4_R1.fastq.gz;zr24558_102V3V4_R2.fastq.gz	
zr24558_103V3V4	276A.R2.48H	zr24558_103V3V4_R1.fastq.gz;zr24558_103V3V4_R2.fastq.gz	
zr24558_104V3V4	276A.S1.48H	zr24558_104V3V4_R1.fastq.gz;zr24558_104V3V4_R2.fastq.gz	
zr24558_105V3V4	276A.S2.48H	zr24558_105V3V4_R1.fastq.gz;zr24558_105V3V4_R2.fastq.gz	
zr24558_106V3V4	276A.NC.48H	zr24558_106V3V4_R1.fastq.gz;zr24558_106V3V4_R2.fastq.gz	
zr24558_107V3V4	84A.R1.48H	zr24558_107V3V4_R1.fastq.gz;zr24558_107V3V4_R2.fastq.gz	
zr24558_108V3V4	84A.R2.48H	zr24558_108V3V4_R1.fastq.gz;zr24558_108V3V4_R2.fastq.gz	
zr24558_109V3V4	84A.S1.48H	zr24558_109V3V4_R1.fastq.gz;zr24558_109V3V4_R2.fastq.gz	
zr24558_110V3V4	84A.S2.48H	zr24558_110V3V4_R1.fastq.gz;zr24558_110V3V4_R2.fastq.gz	
