#taxa	84B.R1.48H	84B.R2.48H	84B.S1.48H	84B.S2.48H	84B.NC.48H	73B.R1.48H	73B.R2.48H	73B.S1.48H	73B.S2.48H	73B.NC..48H	66A.R1.48H	66A.R2.48H	66A.S1.48H	66A.S2.48H	66A.NC.48H	67A.R2.48H	67A.S1.48H	67A.S2.48H	67A.NC.48H	92A.R1.48H	92A.R2.48H	92A.S1.48H	92A.S2.48H	92A.NC.48H	92B.R1.48H	92B.R2.48H	92B.S1.48H	92B.S2.48H	92B.NC.48H	66B.R1.48H	66B.R2.48H	66B.S1.48H	66B.S2.48H	66B.NC.48H	116A.R1.48H	116A.R2.48H	116A.S1.48H	116A.S2.48H	116A.NC.48H	176A.R1.48H	176A.R2.48H	176A.S1.48H	176A.S2.48H	176A.NC.48H	84A.R1.48H	84A.R2.48H	84A.S1.48H	84A.S2.48H	84A.NC.48H	73A.R1.48H	73A.R2.48H	73A.S1.48H	73A.S2.48H	73A.NC.48H	67B.R1.48H	67B.R2.48H	67B.S1.48H	67B.S2.48H	67B.NC.48H	176B.R1.48H	176B.R2.48H	176B.S1.48H	176B.S2.48H	176B.NC.48H	161A.R1.0H	161A.R2.0H	161A.S1.0H	161A.S2.0H	116A.R1.0H	116A.R2.0H	116A.S1.0H	116A.S2.0H	67A.R1.0H	67A.R2.0H	67A.S1.0H	67A.S2.0H	73B.R1.0H	73B.R2.0H	73B.S1.0H	73B.S2.0H	67B.NC.0H	92A.NC.0H	176A.NC.0H	73A.NC.0H	67B.R1.0H	67B.R2.0H	67B.S1.0H	67B.S2.0H	92A.R1.0H	92A.R2.0H	92A.S1.0H	92A.S2.0H	176A.R1.0H	176A.R2.0H	176A.S1.0H	176A.S2.0H	73A.R1.0H	73A.R2.0H	73A.S1.0H	73A.S2.0H	66B.R1.0H	66B.R2.0H	66B.S1.0H	66B.S2.0H	84B.R1.0H	84B.R2.0H	84B.S1.0H	84B.S2.0H	84B.NC.0H	66A.NC.0H	92B.NC.0H	66A.R1.0H	66A.R2.0H	66A.S1.0H	66A.S2.0H	84A.R1.0H	84A.R2.0H	84A.S1.0H	84A.S2.0H	92B.R1.0H	92B.R2.0H	92B.S1.0H	92B.S2.0H	176B.R1.0H	176B.R2.0H	176B.S1.0H	161A.NC.0H	116A.NC.0H	67A.NC.0H	73.NC.0H
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	3396	4587	2319	2760	2162	5625	880	6829	2499	2638	4847	320	3542	3810	4586	3606	4646	1550	4668	4667	2350	3935	1409	3278	2480	2385	2012	3544	1188	726	497	1177	301	679	1819	1848	1845	1323	2239	5673	278	4061	1014	6167	2615	3033	1603	2199	1187	3524	4857	7552	4672	4421	6229	1010	3943	3892	9673	8664	142	7256	1535	7080	6859	7833	5977	6821	11274	11293	13097	9674	4777	3778	4947	4706	35839	27935	32963	30393	13800	4687	14244	18809	7076	14681	19947	19128	21181	4179	3934	5087	4102	16876	22001	11672	11615	19041	16494	21965	15880	13487	13719	13308	19667	46168	29615	27208	19741	22747	10020	26537	14545	21587	27504	25041	13679	11256	9014	11703	13292	12216	10760	9833	11719	9844	6977	12858	3388	29340
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia-Lachnoclostridium	30	45	34	28	45	0	0	0	0	0	17	0	36	11	0	15	132	11	124	43	11	90	0	34	11	0	0	59	16	14	0	0	0	0	30	22	19	0	16	18	0	14	0	25	20	22	100	108	23	0	0	0	0	0	48	0	20	17	35	50	0	27	0	34	217	228	193	191	76	65	82	66	230	209	268	268	0	0	0	12	33	82	32	74	21	34	47	42	24	77	77	97	98	37	49	33	214	73	64	51	54	80	79	70	0	0	0	0	0	0	38	29	0	0	0	0	59	26	34	53	43	38	38	22	46	38	236	91	234	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia-Marvinbryantia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Cellulosilyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	12	11	28	17	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus	238	630	0	23	0	244	0	181	0	26	35	0	52	62	629	0	150	166	413	119	78	55	29	1105	77	80	66	95	910	75	0	471	0	125	2359	297	903	55	714	224	176	259	374	378	314	539	232	122	0	15	94	42	26	0	235	92	109	120	482	653	12	201	105	494	427	522	395	456	877	1152	1387	1175	310	316	420	390	49	24	22	25	917	32	69	626	737	841	1266	1118	1262	32	15	34	21	50	95	25	80	558	568	755	534	1424	1155	1251	0	0	0	0	0	631	306	365	608	899	436	1085	456	316	264	314	391	394	292	355	452	335	454	1401	316	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	534	574	28	197	17	0	320	543	573	1536	657	171	1120	463	1217	1201	173	144	692	425	821	354	693	930	2463	160	86	1794	831	425	0	798	0	539	264	246	289	112	851	126	506	278	583	157	93	1222	176	422	17	150	1188	119	520	114	269	1917	228	134	638	758	0	407	220	975	825	1004	758	802	707	816	1043	816	2163	1797	2389	2375	624	494	614	570	1215	611	1729	2138	1328	1494	2092	1650	2108	517	458	510	539	1356	3079	822	1313	1911	1833	2370	1756	1155	925	1101	3573	2427	1655	1639	1183	1159	1628	1460	881	1430	1293	1671	2402	1748	1542	1961	2081	2004	1652	1676	2118	1641	756	1087	1534	1873
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eisenbergiella	35	289	115	12	107	0	0	0	0	0	32	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	13	98	50	139	17	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Epulopiscium	0	0	0	0	0	0	0	0	0	0	427	0	0	111	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	72	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eubacterium	242	139	291	927	229	295	132	165	2136	137	358	21	362	136	105	704	186	226	438	777	255	527	32	741	379	76	47	931	640	0	0	24	0	117	282	135	235	85	207	75	0	74	209	11	510	1203	597	871	384	34	899	367	338	142	261	115	138	193	1997	101	0	77	34	78	219	234	196	208	1916	2373	3066	2901	650	531	727	737	1822	1254	1567	1165	2192	1702	1607	4086	4966	2987	3672	3371	3845	1512	1382	1748	1591	1626	2696	821	3468	3678	3600	4702	3423	3504	2895	3021	0	3445	3450	3490	2388	3936	2338	3109	2473	4732	3133	4220	3675	2304	2463	2840	3126	2983	2340	1908	2743	2022	215	3411	541	3509
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eubacterium-Marvinbryantia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
