feature,metadata,value,name,coef,null_hypothesis,stderr,pval_individual,qval_individual,pval_joint,qval_joint,error,model,N,N_not_zero
f__Coriobacteriaceae,timepoint,48H,timepoint48H,-1.2419398344064125,0,0.6515370125653412,0.05662824725602654,0.5006264496409125,0.11004973612476343,0.5580100338449901,NA,logistic,289,110
Intestinibacter,obesity_group,obesity,obesity_groupobesity,-1.369403217030647,0,0.7194448092219815,0.05698620224635919,0.5006264496409125,0.11072497724625542,0.5580100338449901,NA,logistic,289,224
Subdoligranulum,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,-10.325819599135793,0,5.501553612215268,0.060532956441941364,0.52686091717986006,0.11740167406828074,0.5858573735368127,NA,logistic,289,281
Faecalitalea,timepoint,48H,timepoint48H,-1.3810437142291376,0,0.7544202049303692,0.06715985534505112,0.5636630716459647,0.05711995507205278,0.3654842409600996,NA,logistic,289,69
Fusicatenibacter,timepoint,48H,timepoint48H,-2.142748883127904,0,1.1973289463283903,0.07351702915606982,0.5864586629776709,0.14162930473620527,0.6562340789897076,NA,logistic,289,256
Eubacterium,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,9.151044671819275,0,5.138679095388553,0.07494242822215151,0.5919822061245582,0.1442684888964707,0.6573119259572299,NA,logistic,289,269
Parasutterella,obesity_group,obesity,obesity_groupobesity,-1.4182691911724206,0,0.8138741460895221,0.08140091040753965,0.6271873424843218,0.08140091040753965,0.4553083889828316,NA,logistic,289,67
Eubacterium,obesity_group,obesity,obesity_groupobesity,-1.2349210432392208,0,0.7110071146628019,0.08241158087224065,0.6287280922259252,0.1580314930826195,0.7055967542022221,NA,logistic,289,269
Other,timepoint,48H,timepoint48H,1.0776786882740954,0,0.6222673685721067,0.08329885752839353,0.6287280922259252,0.1596590153912515,0.7066646855143218,NA,logistic,289,101
Varibaculum,timepoint,48H,timepoint48H,-2.1069900107222503,0,1.2178233950204125,0.08360745907259644,0.6287280922259252,0.14022976209688456,0.6562340789897076,NA,logistic,289,21
Slackia,timepoint,48H,timepoint48H,1.3698988335970699,0,0.8019739988282515,0.0876069063242635,0.6425968993123812,0.1675388426128188,0.7093404816207732,NA,logistic,289,88
Slackia,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,-1.5460124893336222,0,0.9659392228942848,0.10948156545350578,0.7146713300437183,0.2069769177328613,0.768987234496543,NA,logistic,289,88
f__Christensenellaceae,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,-1.6518648669308604,0,1.0394514599799727,0.11202206304504862,0.7212379401530528,0.2114951834812281,0.7800800608111963,NA,logistic,289,214
Peptoclostridium,obesity_group,obesity,obesity_groupobesity,-1.2914068832941408,0,0.8375335696117607,0.12309387043584061,0.7562629948345764,0.23103563993280551,0.8223576274531329,NA,logistic,289,13
Fusicatenibacter,obesity_group,obesity,obesity_groupobesity,1.8223286695004914,0,1.1890478003081952,0.12537568334430585,0.7603428538299839,0.23503230471455983,0.824378019428919,NA,logistic,289,256
Coprococcus,obesity_group,obesity,obesity_groupobesity,-0.932206390511336,0,0.6132955577071012,0.12851214652750723,0.7632114098567345,0.24050892124990675,0.824378019428919,NA,logistic,289,235
Dialister,timepoint,48H,timepoint48H,-1.0677404738810599,0,0.7019055786713678,0.12820904514773718,0.7632114098567345,0.23998053103777983,0.824378019428919,NA,logistic,289,76
Eisenbergiella,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,-2.0958660474923043,0,1.381747515033543,0.12931144486654522,0.7632114098567345,0.24190143995961633,0.824378019428919,NA,logistic,289,41
Holdemanella,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,1.3039545146027636,0,0.8610009529301178,0.12990832508199737,0.7632114098567345,0.24294047723838474,0.824378019428919,NA,logistic,289,108
Dorea,carbohydrate,RDC,carbohydrateRDC,-11.392098170762537,0,7.6697252134601,0.1374555579992291,0.7750299084346873,0.25601708557357894,0.8377788498778611,NA,logistic,289,270
