parameter,entity,estimate,std.error,p.val.adj,s_var,engine
carbohydrateRDC,Blautia,-1.4178574317571053,1.1608307176252841,0.7063809681738532,1,blmm
carbohydrateSDC,Blautia,0.03033631731715759,1.1638270174220016,0.9995495627269416,1,blmm
timepoint48H,Blautia,-0.29965125560392314,1.3047978942917469,1,1,blmm
obesity_groupobesity,Blautia,-0.0698902420203977,0.6803187734828663,0.9995222717839327,1,blmm
carbohydrateRDC:timepoint48H,Blautia,2.4146215297950384,1.5729297802124613,0.4876942200211541,1,blmm
carbohydrateSDC:timepoint48H,Blautia,1.713209412202863,1.5713310429518865,0.8707658524480738,1,blmm
carbohydrateRDC,Clostridium,-1.1512633431045574,1.3316374334090568,0.7239413029980076,1,blmm
carbohydrateSDC,Clostridium,-0.33209262874702195,1.3348560470118362,0.9999678688134166,1,blmm
timepoint48H,Clostridium,7.619498884004161,1.4990796208669674,1.2160801124621913e-5,1,blmm
obesity_groupobesity,Clostridium,-0.316200498991581,1.384757249407015,0.9993715653885693,1,blmm
carbohydrateRDC:timepoint48H,Clostridium,1.7929944205791633,1.8039284379963156,0.5717802773624489,1,blmm
carbohydrateSDC:timepoint48H,Clostridium,0.6203025865607159,1.8019956004241822,0.9472411169493673,1,blmm
carbohydrateRDC,Collinsella,-1.963953434760077,1.5531238278927249,0.7095829041862701,1,blmm
carbohydrateSDC,Collinsella,-0.9973185064825122,1.5568933176375797,0.9999678688134166,1,blmm
timepoint48H,Collinsella,2.8252978137525777,1.7481932627954886,0.34002410013405576,1,blmm
obesity_groupobesity,Collinsella,0.837153623706346,1.4934914942207604,1,1,blmm
carbohydrateRDC:timepoint48H,Collinsella,4.48051838013823,2.10399535437619,0.4290160569649287,1,blmm
carbohydrateSDC:timepoint48H,Collinsella,3.273563799536311,2.1017491768515013,0.8238498471168307,1,blmm
carbohydrateRDC,Coprococcus,-1.0291374149575785,1.4774873926454368,0.7378077730823839,1,blmm
carbohydrateSDC,Coprococcus,-0.12061486412264823,1.4811646533138936,0.9995495627269416,1,blmm
timepoint48H,Coprococcus,-0.17920501973336858,1.66192709742904,0.9978702622996919,1,blmm
obesity_groupobesity,Coprococcus,-1.195303554688999,1.0352665366818188,0.8514056973075993,1,blmm
carbohydrateRDC:timepoint48H,Coprococcus,2.3739953735309003,2.001699671782626,0.5363381445999762,1,blmm
carbohydrateSDC:timepoint48H,Coprococcus,2.2479885572307694,1.999607691058742,0.8662086786927974,1,blmm
carbohydrateRDC,Dialister,-1.5272809923539945,1.4761031281617147,0.7271708256149187,1,blmm
carbohydrateSDC,Dialister,-0.3683911447817546,1.4796905096606434,0.9995495627269416,1,blmm
timepoint48H,Dialister,0.40977829085015616,1.6614341136769395,0.9554815551004927,1,blmm
obesity_groupobesity,Dialister,-1.027612756047456,1.3925707692904934,0.9496776058910222,1,blmm
carbohydrateRDC:timepoint48H,Dialister,2.7410234407143115,1.9996649074066557,0.5265292092415648,1,blmm
carbohydrateSDC:timepoint48H,Dialister,1.8967995426128568,1.9975325768282683,0.8790430388439617,1,blmm
carbohydrateRDC,Dorea,-1.4607853653781389,1.2475643534061653,0.7063809681738532,1,blmm
carbohydrateSDC,Dorea,-0.001738593910017658,1.25067657605302,0.9995495627269416,1,blmm
timepoint48H,Dorea,-1.7278258505630766,1.4032237626697548,0.9402109009582791,1,blmm
obesity_groupobesity,Dorea,-1.2834905570153679,0.855590282801206,0.8041809968318646,1,blmm
carbohydrateRDC:timepoint48H,Dorea,2.911780786124581,1.6902142248979517,0.4754591106702595,1,blmm
carbohydrateSDC:timepoint48H,Dorea,1.4431002541528044,1.6884511279564238,0.8789761620691062,1,blmm
carbohydrateRDC,Eggerthella,-1.5918389613331958,1.2589443609404192,0.7104528860105096,1,blmm
