feature,effect,maaslin_coef,maaslin_q,maaslin_joint_q,aldex_est,aldex_q,ancom_lfc,ancom_se,ancom_q,dir_maaslin,dir_aldex,dir_ancom,concordant_maaslin_aldex,concordant_all3
Tyzzerella,obesity_groupobesity,1.700637607569865,0.8203467285084257,0.7093404816207732,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
Senegalimassilia,carbohydrateSDC:timepoint48H,2.3734363700427465,0.8285791876764491,0.908694438998525,2.1651213292671683,0.8306056128155955,-0.12489116861346242,0.44549349355873497,0.8667580237422499,1,1,-1,TRUE,FALSE
Other,carbohydrateSDC:timepoint48H,1.956909308139747,0.845571382532665,0.9351153347637488,1.501369195919134,0.9018409437288062,0.3634889408794327,0.36295900654467006,0.5401113881567909,1,1,1,TRUE,TRUE
Finegoldia,obesity_groupobesity,1.429392680484648,0.8495443267134605,0.9351153347637488,NA,NA,1.1185365868937034,0.6788483857371366,0.984922689747989,1,NA,1,FALSE,FALSE
Odoribacter,obesity_groupobesity,3.305817164739886,0.8495443267134605,0.7555791230120602,NA,NA,0.3478428511221729,0.5144220670893839,0.984922689747989,1,NA,1,FALSE,FALSE
Peptoclostridium,carbohydrateSDC:timepoint48H,4.042760738329214,0.8495443267134605,0.9351153347637488,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
f__Family.XIII,carbohydrateSDC:timepoint48H,1.469266831370882,0.8529226117095119,0.9380649629902746,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
Finegoldia,carbohydrateRDC:timepoint48H,-3.604622385405836,0.8529226117095119,0.9380649629902746,NA,NA,3.0610905742929817,0.9351272504888513,0.015170176146046249,-1,NA,1,FALSE,FALSE
Paenibacillus,carbohydrateSDC:timepoint48H,-1.5252506017130325,0.8529226117095119,0.9380649629902746,1.7427696009148106,0.902329965449975,-0.5613386991672361,0.41633307564510463,0.4126450537386114,-1,1,-1,FALSE,FALSE
Ruminiclostridium,obesity_groupobesity,0.6813954075153551,0.8529226117095119,0.9380649629902746,0.6538241934499823,1,0.12717374035673526,0.3288848392997037,0.984922689747989,1,1,1,TRUE,TRUE
Senegalimassilia,timepoint48H,1.803187496308629,0.8529226117095119,0.9380649629902746,1.8089557155757785,0.5404031670431548,0.16142768937206864,0.5213289403914972,1,1,1,1,TRUE,TRUE
Slackia,timepoint48H,1.8926188961317856,0.8529226117095119,0.7093404816207732,3.8215395557760505,0.0906823535187438,0.8817388820160338,0.5310688571846033,0.2502305849059519,1,1,1,TRUE,TRUE
Clostridium,carbohydrateRDC:timepoint48H,1.5850427372374312,0.8571829191453927,0.940866899275942,1.750037571161022,0.5701678809700003,2.2107235560894236,0.44229567680019477,2.3625299800103103e-5,1,1,1,TRUE,TRUE
Marvinbryantia,timepoint48H,-1.5857147854736229,0.8832207258996726,0.0029039856718768,-3.939663628973391,0.43730514209982,-1.53647289311997,0.4432934819809592,0.0056900396237321476,-1,-1,-1,TRUE,TRUE
Eggerthella,carbohydrateRDC:timepoint48H,1.4869437702105577,0.8855032436588889,0.9618767143182508,1.5198623005662066,0.5971415480934426,1.3034189888374768,0.383423203042724,0.005469322127359871,1,1,1,TRUE,TRUE
Eisenbergiella,obesity_groupobesity,2.5538627411787664,0.8855032436588889,0.9618767143182508,NA,NA,0.04793736314357981,0.5827221987703697,0.984922689747989,1,NA,1,FALSE,FALSE
Phascolarctobacterium,carbohydrateSDC:timepoint48H,4.207949199691306,0.8913384337911151,0.9663554412007408,NA,NA,2.218249677617833,0.6126874095340172,0.0057052055936048715,1,NA,1,FALSE,FALSE
Collinsella,timepoint48H,1.2785528506751644,0.8971954473452687,0.9721802284873706,2.7322352963463934,0.3556783568716549,-0.17658071070042686,0.4944249917607124,1,1,1,-1,TRUE,FALSE
Faecalibacterium,obesity_groupobesity,1.0047232095166705,0.8971954473452687,0.9721802284873706,0.655849011521633,1,0.5169869248068716,0.50756228534331,0.984922689747989,1,1,1,TRUE,TRUE
Bilophila,obesity_groupobesity,1.2811814821783052,0.9110727733378864,0.9783047915843812,NA,NA,-0.15104797177859036,0.4602420273366137,0.984922689747989,1,NA,-1,FALSE,FALSE
Lactococcus,carbohydrateSDC:timepoint48H,1.7602538717893317,0.9122822557383248,0.9783047915843812,2.174720482751876,0.853048799385414,-0.39078857207420786,0.38700745012753435,0.5401113881567909,1,1,-1,TRUE,FALSE
Marvinbryantia,carbohydrateRDC:timepoint48H,1.860419624434468,0.9144684614212932,0.9783047915843812,2.8306522056582857,0.4789722198294019,-1.363453553283337,0.36391972513747217,0.002129579811440849,1,1,-1,TRUE,FALSE
Intestinibacter,carbohydrateSDC:timepoint48H,1.4474696003081675,0.9167041271149928,0.9849144782664006,0.4889399247102847,0.9634454000464978,0.4273719584867442,0.4645475856859406,0.5855693095157267,1,1,1,TRUE,TRUE
Lachnospira,obesity_groupobesity,1.6800283947909398,0.9167041271149928,0.356007099785986,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
Romboutsia,obesity_groupobesity,-0.9110142088925496,0.9167041271149928,0.8693400324782442,-2.3041903695604913,0.7862591017359624,-0.754516233125149,0.5539565850868596,0.984922689747989,-1,-1,-1,TRUE,TRUE
Blautia,carbohydrateRDC:timepoint48H,1.233815677429102,0.9186546175427196,0.9849144782664006,2.4338586700981257,0.4560382607634186,-1.4720090978756557,0.3199847684687179,8.93898304471321e-5,1,1,-1,TRUE,FALSE
Catenibacterium,carbohydrateRDC:timepoint48H,3.84486320246664,0.9186546175427196,0.9849144782664006,NA,NA,-1.5428522023045124,0.6123069157548223,0.0724599190237221,1,NA,-1,FALSE,FALSE
Ruminiclostridium,carbohydrateSDC:timepoint48H,1.3178742911824737,0.9186546175427196,0.9849144782664006,1.2967733171901383,0.9193522562875672,0.10704700550276287,0.37327054708980933,0.8667580237422499,1,1,1,TRUE,TRUE
Eubacterium,carbohydrateRDC:timepoint48H,1.250891199594906,0.9420407788223614,0.6573119259572299,1.8209533910340772,0.5417781780222731,-2.025286558257873,0.36574953325829035,3.10965908847644e-6,1,1,-1,TRUE,FALSE
f__Christensenellaceae,obesity_groupobesity,0.8818887760699644,0.9420407788223614,0.8794649184161271,-0.9803653585080888,0.979562006391796,0.2746012382169786,0.41909967353280486,0.984922689747989,1,-1,1,FALSE,FALSE
Paenibacillus,carbohydrateRDC:timepoint48H,-1.349015732116522,0.9420407788223614,0.999976442700979,2.1962151056607135,0.5530753031448552,-0.4829405578176708,0.4132030263891,0.47710667122726336,-1,1,-1,FALSE,FALSE
Peptoniphilus,obesity_groupobesity,1.634019225878384,0.9420407788223614,0.8693400324782442,NA,NA,0.5367758578264549,0.6661800480987902,0.984922689747989,1,NA,1,FALSE,FALSE
Eggerthella,carbohydrateSDC:timepoint48H,1.341486825257313,0.9436169097014696,0.999976442700979,0.5532768959900318,0.9490780948917944,1.3739867446137464,0.3866110676659808,0.003817716602113917,1,1,1,TRUE,TRUE
Lactococcus,carbohydrateRDC:timepoint48H,1.6729743085652446,0.9436169097014696,0.999976442700979,2.447939981642038,0.49148335352665296,-0.5529357740197941,0.3868823262737531,0.3670980154198709,1,1,-1,TRUE,FALSE
Catenibacterium,timepoint48H,-3.0140847848804526,0.9552935256721912,0.999976442700979,NA,NA,-1.7837792847162621,0.7397523186689904,0.09495099020068544,-1,NA,-1,FALSE,FALSE
Coprococcus,carbohydrateRDC:timepoint48H,1.3552123803655027,0.9552935256721912,0.999976442700979,2.4593588861611497,0.5112818343087202,-0.5950063315835623,0.3779652071650886,0.28338711865490834,1,1,-1,TRUE,FALSE
Peptococcus,timepoint48H,-2.3008280351932435,0.9552935256721912,0.999976442700979,NA,NA,-1.1632909951845736,0.8924283224404664,0.3966160596659369,-1,NA,-1,FALSE,FALSE
Eisenbergiella,carbohydrateSDC:timepoint48H,4.273541171072614,0.9568598366250995,0.824378019428919,NA,NA,-1.2852099742669145,0.7041483180901879,0.2332833784666338,1,NA,-1,FALSE,FALSE
Methanobrevibacter,obesity_groupobesity,-1.9726626363092388,0.9568598366250995,0.999976442700979,NA,NA,0.8347447251612511,1.0521310990526638,0.984922689747989,-1,NA,1,FALSE,FALSE
Lactobacillus,timepoint48H,-2.5242513844822296,0.9623333447206346,0.999976442700979,NA,NA,-0.54766313913307485,1.255396911498832,1,-1,NA,-1,FALSE,FALSE
Parvimonas,obesity_groupobesity,3.934777306033054,0.9724422523994704,0.9351153347637488,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
Coprobacillus,timepoint48H,2.4435135757661097,0.9798292099802666,0.47993769013069915,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
Alistipes,carbohydrateSDC:timepoint48H,2.192807741585772,0.9806265543621828,0.9351153347637488,-0.10388504838707184,0.9836205148613965,1.466896859159499,0.640672075770469,0.0956060797675156,1,-1,1,FALSE,FALSE
Anaerococcus,obesity_groupobesity,1.0976759486201553,0.9806265543621828,0.999976442700979,NA,NA,0.3727151925469618,0.5868545685773815,0.984922689747989,1,NA,1,FALSE,FALSE
Bacteroides,carbohydrateRDC:timepoint48H,1.999081834906977,0.9806265543621828,0.999976442700979,1.2380558501074654,0.7072771115791358,3.668629475728624,0.5496074447798459,3.3538431180471587e-8,1,1,1,TRUE,TRUE
Carnobacterium,obesity_groupobesity,3.973435425873463,0.9806265543621828,0.9351153347637488,NA,NA,0.03630700566380999,0.7241621217814271,0.984922689747989,1,NA,1,FALSE,FALSE
Dialister,carbohydrateSDC:timepoint48H,2.021087415102758,0.9806265543621828,0.999976442700979,1.826983185833838,0.9003090931053331,0.22104943313060516,0.5506605035202337,0.8110350227441022,1,1,1,TRUE,TRUE
Enterobacter,obesity_groupobesity,2.622040515391683,0.9806265543621828,0.999976442700979,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
f__Coriobacteriaceae,timepoint48H,1.4788792870112193,0.9806265543621828,0.5580100338449901,0.2216537699369777,0.9734389406128756,-0.22402361538520013,0.6101655396912253,1,1,1,-1,TRUE,FALSE
f__Erysipelotrichaceae,carbohydrateSDC:timepoint48H,1.0510390175027062,0.9806265543621828,0.9773026827650444,0.14547356338110357,0.9814304168421056,-1.5323863667164754,0.3605331124152678,3.9685492244278007e-4,1,1,-1,TRUE,FALSE
f__Lachnospiraceae,timepoint48H,0.9036039994144268,0.9806265543621828,0.999976442700979,0.9336621616736758,0.9189477934475808,-0.6072286332087692,0.4322275039258649,0.36447587244616675,1,1,-1,TRUE,FALSE
f__Ruminococcaceae,obesity_groupobesity,0.35784065645865454,0.9806265543621828,0.36204991220758087,-0.7772677097717219,0.8353187015069903,-0.08053322474982332,0.32020891238347743,0.984922689747989,1,-1,-1,FALSE,FALSE
Fusicatenibacter,timepoint48H,-1.1734251311406656,0.9806265543621828,0.6562340789897076,-2.3713319577910315,0.8182681969127906,-1.842520365945409,0.5450409924862759,0.006153522010528427,-1,-1,-1,TRUE,TRUE
Hungatella,timepoint48H,2.2799228486564025,0.9806265543621828,0.02473937697513902,NA,NA,-0.17666284682320488,1.0451071933068055,1,1,NA,-1,FALSE,FALSE
Intestinibacter,carbohydrateRDC:timepoint48H,1.1727621652745486,0.9806265543621828,0.999976442700979,1.8625239941782643,0.558501614453007,0.46930241081364177,0.46047477788925134,0.5267447447998395,1,1,1,TRUE,TRUE
Lachnoclostridium,obesity_groupobesity,0.4329021502707756,0.9806265543621828,0.999976442700979,0.10837346875667916,1,0.06821977443086304,0.2756225831910701,0.984922689747989,1,1,1,TRUE,TRUE
Parabacteroides,carbohydrateRDC:timepoint48H,2.6155023218816154,0.9806265543621828,0.9932668745705344,0.3363710306242139,0.8741243747339781,3.114076226432602,0.6839253804932947,1.3448014929664034e-4,1,1,1,TRUE,TRUE
Peptoniphilus,timepoint48H,3.587247342492799,0.9806265543621828,0.02473937697513902,NA,NA,0.6785297851996137,1.2623979894493542,0.9997140745787064,1,NA,1,FALSE,FALSE
Roseburia,obesity_groupobesity,0.45795447089414143,0.9806265543621828,0.998085829517607,0.8468211886211741,1,0.1609209880255609,0.32135178242250784,0.984922689747989,1,1,1,TRUE,TRUE
Sarcina,timepoint48H,1.8957309517258063,0.9806265543621828,0.999976442700979,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
Subdoligranulum,carbohydrateSDC:timepoint48H,1.0516521222524235,0.9806265543621828,0.5858573735368127,0.872449064723774,0.9237411798178428,-0.19731849367783827,0.3566883839651759,0.7741393323444742,1,1,-1,TRUE,FALSE
o__Clostridiales,carbohydrateRDC:timepoint48H,1.2528604590410002,0.9808547536675206,0.999976442700979,2.143696185711374,0.5486471018778893,-0.3307979920430648,0.507793855893814,0.6881329221559778,1,1,-1,TRUE,FALSE
