donor_id,group,carbohydrate,timepoint,Shannon,Observed,Simpson
21,case,No Added Carb,0H,3.297725898362578,126.5,0.9178707904352778
21,case,No Added Carb,48H,2.649983406965941,73,0.8590445008846623
21,case,RDC,0H,3.1690143875255474,94,0.9189406244967657
21,case,RDC,48H,3.084998845385837,104,0.9051564011327112
21,case,SDC,0H,3.3849951985650844,143.25,0.9186751321028498
21,case,SDC,48H,3.061384503716849,104.5,0.8965712245385767
239,case,No Added Carb,0H,3.149338684106133,95,0.9197035561036047
239,case,No Added Carb,48H,2.918128064783838,99,0.8804281001171201
239,case,RDC,0H,2.2997869523780268,67,0.6874772466943501
239,case,RDC,48H,2.6162109831503852,77.75,0.867621979181642
239,case,SDC,0H,3.000120556649371,84.75,0.904589887628405
239,case,SDC,48H,2.655672208929999,78.75,0.8693287874950636
276,control,No Added Carb,48H,3.3043327765316812,132,0.9003166736261781
276,control,RDC,48H,2.122122861414587,89,0.6546456061068984
276,control,SDC,48H,2.151073839563227,93.75,0.6470688312343513
41,case,No Added Carb,0H,2.645144053331022,85,0.8506063986046554
41,case,No Added Carb,48H,3.432222608155573,170.5,0.9175684714061298
41,case,RDC,0H,2.6975277209794766,109.5,0.7154654222038019
41,case,RDC,48H,3.1576457965063365,146.75,0.8854298171746764
41,case,SDC,0H,3.3016147896078953,121.25,0.9144199261465774
41,case,SDC,48H,3.374502647782394,157.25,0.9189911156723424
50,case,No Added Carb,0H,3.827877874430242,184.5,0.9512546130684647
50,case,No Added Carb,48H,3.586744328284391,165.5,0.9408553181077205
50,case,RDC,0H,3.505566699082886,133,0.9322263332996148
50,case,RDC,48H,2.376044120444982,111.25,0.7622511538522332
50,case,SDC,0H,3.7426107770653836,156.75,0.9469358072981054
50,case,SDC,48H,2.857773854422305,140.25,0.8279078748458577
58,case,No Added Carb,0H,3.4739727741557234,122,0.9412123180658198
58,case,No Added Carb,48H,2.991636026169635,118.5,0.8700124921997419
58,case,RDC,0H,3.4441601000129047,133.25,0.9295122242777422
58,case,RDC,48H,3.1383923460107392,142.5,0.8751487227922279
58,case,SDC,0H,3.43794864931493,120.75,0.9392907465507712
58,case,SDC,48H,3.050461809653427,121.25,0.8946159245977096
66,control,No Added Carb,0H,3.605118057982889,153.5,0.946587622469946
66,control,No Added Carb,48H,3.5599871269205154,134,0.9316725560560308
66,control,RDC,0H,3.560794879403482,133,0.9462251233640375
66,control,RDC,48H,2.5224570632372822,103.5,0.8117496473781289
66,control,SDC,0H,3.6755017282797713,150.5,0.9492433350595187
66,control,SDC,48H,2.92563236028826,122.25,0.8567440650035825
67,control,No Added Carb,0H,3.0797143720482585,92.5,0.8917608033365363
67,control,No Added Carb,48H,3.8383032140906463,192.5,0.9506777762567111
67,control,RDC,0H,3.1435079722128663,94.5,0.9042308380463331
67,control,RDC,48H,3.234397711086323,111.33333333333333,0.918455315120165
67,control,SDC,0H,3.115037885631142,103.5,0.8946298899804714
67,control,SDC,48H,3.2826026371376256,134.5,0.9020759567822239
73,control,No Added Carb,0H,3.378073253650246,130,0.9368945730096002
73,control,No Added Carb,48H,3.48777244872781,160,0.9144314013508974
73,control,RDC,0H,3.364052406810349,134.5,0.9288043598896331
73,control,RDC,48H,2.9104910715296826,137.25,0.8314824247556072
73,control,SDC,0H,3.251651121667716,122.75,0.9232378588437807
73,control,SDC,48H,3.300883004335843,140.25,0.9031812525557278
84,control,No Added Carb,0H,2.815642448595003,74,0.8746761745978351
84,control,No Added Carb,48H,3.6468627021685265,186,0.9273262478984938
84,control,RDC,0H,3.19097097408214,109,0.904627444972286
84,control,RDC,48H,3.577540749116527,190.75,0.9160525473164738
84,control,SDC,0H,3.218273127778298,97,0.9127017486458232
84,control,SDC,48H,3.513800237772519,157.25,0.9223995954466229
92,control,No Added Carb,0H,3.166306334900394,107,0.8896412078275687
92,control,No Added Carb,48H,3.7483221387330508,167.5,0.94742654265876
92,control,RDC,0H,3.2291965311871564,106,0.9021320247108091
92,control,RDC,48H,3.1829693090710247,117,0.9048182189875572
92,control,SDC,0H,3.1227296681828545,106.25,0.882649197162811
92,control,SDC,48H,3.0712198476507826,113.25,0.8673918873036179
