file	reads.in	reads.out
zr24558_199V3V4_R1.fastq.gz	57536	57121
zr24558_200V3V4_R1.fastq.gz	85958	85323
zr24558_201V3V4_R1.fastq.gz	76990	76508
zr24558_202V3V4_R1.fastq.gz	54866	54501
zr24558_203V3V4_R1.fastq.gz	88007	87253
zr24558_204V3V4_R1.fastq.gz	60432	60034
zr24558_205V3V4_R1.fastq.gz	57603	57155
zr24558_206V3V4_R1.fastq.gz	68907	68322
zr24558_207V3V4_R1.fastq.gz	66301	65801
zr24558_208V3V4_R1.fastq.gz	61891	61360
zr24558_209V3V4_R1.fastq.gz	67219	66735
zr24558_210V3V4_R1.fastq.gz	99994	99098
zr24558_211V3V4_R1.fastq.gz	37341	37097
zr24558_212V3V4_R1.fastq.gz	62923	62409
zr24558_213V3V4_R1.fastq.gz	58826	58332
zr24558_214V3V4_R1.fastq.gz	56210	55795
zr24558_215V3V4_R1.fastq.gz	74752	74223
zr24558_216V3V4_R1.fastq.gz	60825	60428
zr24558_217V3V4_R1.fastq.gz	72853	72208
zr24558_218V3V4_R1.fastq.gz	88400	87712
zr24558_219V3V4_R1.fastq.gz	63069	62587
zr24558_220V3V4_R1.fastq.gz	53920	53473
zr24558_221V3V4_R1.fastq.gz	53066	52715
zr24558_222V3V4_R1.fastq.gz	67569	67033
zr24558_223V3V4_R1.fastq.gz	53059	52649
zr24558_224V3V4_R1.fastq.gz	69691	69083
zr24558_225V3V4_R1.fastq.gz	78223	77582
zr24558_226V3V4_R1.fastq.gz	72012	71497
zr24558_227V3V4_R1.fastq.gz	68964	68410
zr24558_228V3V4_R1.fastq.gz	97458	96493
zr24558_229V3V4_R1.fastq.gz	62537	62036
zr24558_230V3V4_R1.fastq.gz	55102	54696
zr24558_231V3V4_R1.fastq.gz	60552	60050
zr24558_232V3V4_R1.fastq.gz	60163	59657
zr24558_233V3V4_R1.fastq.gz	87160	86522
zr24558_234V3V4_R1.fastq.gz	68686	68239
zr24558_235V3V4_R1.fastq.gz	60240	59764
zr24558_236V3V4_R1.fastq.gz	80170	79482
zr24558_237V3V4_R1.fastq.gz	70211	69634
zr24558_238V3V4_R1.fastq.gz	57320	56769
zr24558_239V3V4_R1.fastq.gz	75361	74773
zr24558_240V3V4_R1.fastq.gz	71943	71549
zr24558_241V3V4_R1.fastq.gz	94400	93763
zr24558_242V3V4_R1.fastq.gz	67831	67267
zr24558_243V3V4_R1.fastq.gz	79149	78505
zr24558_244V3V4_R1.fastq.gz	21058	20883
zr24558_245V3V4_R1.fastq.gz	56975	56510
zr24558_246V3V4_R1.fastq.gz	81324	80639
zr24558_247V3V4_R1.fastq.gz	76132	75488
zr24558_248V3V4_R1.fastq.gz	62888	62399
zr24558_249V3V4_R1.fastq.gz	98647	97754
zr24558_250V3V4_R1.fastq.gz	79205	78553
zr24558_251V3V4_R1.fastq.gz	74210	73708
zr24558_252V3V4_R1.fastq.gz	52086	51728
zr24558_253V3V4_R1.fastq.gz	52716	52355
zr24558_254V3V4_R1.fastq.gz	77222	76506
zr24558_255V3V4_R1.fastq.gz	39511	39222
zr24558_256V3V4_R1.fastq.gz	54359	53997
zr24558_257V3V4_R1.fastq.gz	100705	99979
zr24558_258V3V4_R1.fastq.gz	67476	66912
zr24558_259V3V4_R1.fastq.gz	64584	64067
zr24558_260V3V4_R1.fastq.gz	59932	59486
zr24558_261V3V4_R1.fastq.gz	63839	63364
zr24558_262V3V4_R1.fastq.gz	56415	55991
zr24558_263V3V4_R1.fastq.gz	65159	64622
zr24558_264V3V4_R1.fastq.gz	50491	50016
zr24558_265V3V4_R1.fastq.gz	65132	64460
zr24558_266V3V4_R1.fastq.gz	81564	80899
zr24558_267V3V4_R1.fastq.gz	72848	72195
zr24558_268V3V4_R1.fastq.gz	78092	77502
zr24558_269V3V4_R1.fastq.gz	50712	50329
zr24558_270V3V4_R1.fastq.gz	77146	76446
zr24558_271V3V4_R1.fastq.gz	69314	68754
zr24558_272V3V4_R1.fastq.gz	74071	73389
zr24558_273V3V4_R1.fastq.gz	85947	85274
zr24558_274V3V4_R1.fastq.gz	92292	91501
zr24558_275V3V4_R1.fastq.gz	66767	66251
zr24558_276V3V4_R1.fastq.gz	59302	58805
zr24558_278V3V4_R1.fastq.gz	56263	55886
zr24558_279V3V4_R1.fastq.gz	107668	106736
zr24558_280V3V4_R1.fastq.gz	75579	75021
zr24558_281V3V4_R1.fastq.gz	83561	82874
zr24558_282V3V4_R1.fastq.gz	75171	74518
zr24558_283V3V4_R1.fastq.gz	15738	15640
zr24558_284V3V4_R1.fastq.gz	84069	83440
zr24558_285V3V4_R1.fastq.gz	62983	62482
zr24558_286V3V4_R1.fastq.gz	65952	65389
zr24558_287V3V4_R1.fastq.gz	84269	83553
zr24558_288V3V4_R1.fastq.gz	8311	8234
zr24558_289V3V4_R1.fastq.gz	78962	78406
zr24558_290V3V4_R1.fastq.gz	71183	70672
zr24558_291V3V4_R1.fastq.gz	77009	76476
zr24558_292V3V4_R1.fastq.gz	93971	93104
zr24558_293V3V4_R1.fastq.gz	73038	72484
zr24558_294V3V4_R1.fastq.gz	80361	79639
zr24558_295V3V4_R1.fastq.gz	77762	77209
zr24558_296V3V4_R1.fastq.gz	67137	66631
zr24558_297V3V4_R1.fastq.gz	63497	63050
zr24558_298V3V4_R1.fastq.gz	68135	67544
zr24558_299V3V4_R1.fastq.gz	87185	86481
zr24558_300V3V4_R1.fastq.gz	66040	65517
