#taxa	21B.R1.48H	21B.R2.48H	21A.R1.48H	21A.R2.48H	41B.R1.48H	41B.R2.48H	50B.R1.48H	50B.R2.48H	161A.R1.48H	161A.R2.48H	123A.R1.48H	123A.R2.48H	58B.R1.48H	58B.R2.48H	123B.R1.48H	123B.R2.48H	239B.R1.48H	239B.R2.48H	58A.R1.48H	58A.R2.48H	137A.R1.48H	41A.R1.48H	41A.R2.48H	161B.R1.48H	161B.R2.48H	50A.R1.48H	50A.R2.48H	239A.R1.48H	239A.R2.48H	21B.S1.48H	21B.S2.48H	21A.S1.48H	21A.S2.48H	41B.S1.48H	41B.S2.48H	50B.S1.48H	50B.S2.48H	161A.S1.48H	161A.S2.48H	123A.S1.48H	123A.S2.48H	58B.S1.48H	58B.S2.48H	123B.S1.48H	123B.S2.48H	239B.S1.48H	239B.S2.48H	58A.S1.48H	58A.S2.48H	137A.S1.48H	137A.S2.48H	41A.S1.48H	41A.S2.48H	161B.S1.48H	161B.S2.48H	50A.S1.48H	50A.S2.48H	239A.S1.48H	239A.S2.48H
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__cellulosilyticus	0	0	0	0	30	13	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	162	29	0	0	0	0	0	0	0	0	0	0	82	12	0	0	0	0	0	0	0	0	0	0	0	0	93	32	0	0	181	71	0	0	13	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__dorei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	100	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	65	146	0	0	0	0	0	0	13	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__eggerthii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	76	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__faecis	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	20	0	169	334	936	69	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	86	1866	64	58	42	16	0	34	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__finegoldii	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491	18	179	265	74	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	87	194	0	143	82	0	0	16	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis	393	1485	1028	92	43	14	0	0	0	0	0	0	0	0	55	0	3195	0	195	65	0	126	63	0	0	0	0	705	2116	1248	2387	599	182	1884	53	0	0	0	0	0	0	0	0	0	0	4103	843	75	0	0	0	92	84	0	0	14	0	2378	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis-ovatus	1126	467	4439	1372	0	0	19	0	29	0	677	308	0	0	336	208	254	0	489	277	44	0	18	32	0	189	0	106	232	547	596	1055	1416	0	0	0	0	28	0	570	67	0	0	194	147	371	151	294	159	24	17	15	0	38	35	157	66	95	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__intestinalis-stercorirosoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__massiliensis	0	0	0	0	13	120	0	0	0	0	0	0	0	0	0	0	0	0	222	95	0	715	279	80	0	21	12	0	0	0	0	0	0	60	426	0	0	0	0	0	0	0	0	0	0	0	0	51	21	17	0	545	336	39	47	0	0	0	0
